,validated,accepted,committed,avg_val,avg_accep,avg_comm
521,3,9,68,,,
522,3,9,102,,,
523,4,9,66,,,
524,3,8,90,,,
525,4,9,67,,,
526,3,9,107,,,
527,3,10,66,,,
528,3,9,90,,,
529,3,9,68,,,
530,4,9,65,,,
531,3,9,65,,,
532,3,9,66,,,
533,4,9,68,,,
534,3,9,86,,,
535,3,8,92,,,
536,3,9,74,,,
537,3,9,83,,,
538,4,9,65,,,
539,3,9,66,,,
540,3,9,67,,,
541,4,9,100,,,
542,3,8,93,,,
543,3,8,95,,,
544,3,9,85,,,
545,4,9,65,,,
546,3,9,66,,,
547,3,10,66,,,
548,3,9,64,,,
549,4,9,110,,,
550,3,10,108,,,
551,3,9,65,,,
552,4,10,68,,,
553,3,9,98,,,
554,3,8,66,,,
555,3,8,78,,,
556,3,9,91,,,
557,4,10,106,,,
558,3,9,66,,,
559,4,9,64,,,
560,3,8,65,,,
561,4,9,64,,,
562,4,10,66,,,
563,3,9,65,,,
564,3,9,88,,,
565,3,9,88,,,
566,3,9,103,,,
567,3,9,66,,,
568,3,8,93,,,
569,3,9,89,,,
570,4,9,66,,,
571,4,10,84,,,
572,3,9,94,,,
573,3,9,65,,,
574,4,10,97,,,
575,3,8,84,,,
576,3,9,105,,,
577,3,9,64,,,
578,3,8,138,,,
579,4,9,67,,,
580,3,9,64,,,
581,3,9,64,,,
582,3,9,65,,,
583,3,9,237,,,
584,3,9,103,,,
585,3,8,64,,,
586,4,9,109,,,
587,3,8,67,,,
588,3,8,64,,,
589,4,9,68,,,
590,4,9,67,,,
591,3,9,65,,,
592,4,9,99,,,
593,3,10,90,,,
594,3,9,68,,,
595,3,9,64,,,
596,4,10,112,,,
597,3,8,64,,,
598,3,9,97,,,
599,3,9,76,,,
600,3,9,94,,,
601,3,9,103,,,
602,3,9,90,,,
603,3,8,65,,,
604,3,10,65,,,
605,3,9,100,,,
606,3,8,65,,,
607,4,10,103,,,
608,3,9,211,,,
609,4,11,70,,,
610,4,10,65,,,
611,3,9,68,,,
612,3,9,100,,,
613,4,9,97,,,
614,3,9,66,,,
615,3,10,100,,,
616,3,9,65,,,
617,3,8,63,,,
618,3,9,67,,,
619,3,9,67,,,
620,3,8,66,,,
621,3,9,66,,,
622,3,9,105,,,
623,3,9,100,,,
624,3,9,68,,,
625,3,8,89,,,
626,3,9,69,,,
627,3,9,88,,,
628,3,9,64,,,
629,4,10,68,,,
630,3,9,94,,,
631,3,9,68,,,
632,3,9,88,,,
633,3,8,65,,,
634,3,9,87,,,
635,3,9,65,,,
636,3,9,67,,,
637,4,10,66,,,
638,4,9,107,,,
639,3,9,64,,,
640,3,9,68,,,
641,3,9,90,,,
642,3,9,67,,,
643,4,9,67,,,
644,4,10,97,,,
645,3,9,102,,,
646,3,9,64,,,
647,3,9,65,,,
648,4,9,89,,,
649,3,9,110,,,
650,4,9,103,,,
651,3,9,95,,,
652,3,9,64,,,
653,4,9,67,,,
654,3,9,93,,,
655,4,9,67,,,
656,3,8,64,,,
657,4,10,67,,,
658,3,8,94,,,
659,4,9,89,,,
660,4,9,97,,,
661,3,9,67,,,
662,3,8,68,,,
663,3,9,68,,,
664,4,10,91,,,
665,3,9,63,,,
666,4,9,66,,,
667,3,9,103,,,
668,3,9,104,,,
669,3,9,67,,,
670,3,8,63,,,
671,3,8,88,,,
672,3,9,88,,,
673,3,9,90,,,
674,3,9,65,,,
675,3,8,66,,,
676,3,10,90,,,
677,3,9,68,,,
678,3,9,100,,,
679,4,11,95,,,
680,3,10,65,,,
681,3,10,65,,,
682,3,9,66,,,
683,3,9,85,,,
684,3,8,86,,,
685,3,9,99,,,
686,3,10,66,,,
687,4,9,69,,,
688,3,8,96,,,
689,3,8,87,,,
690,4,9,117,,,
691,4,9,66,,,
692,3,8,93,,,
693,3,9,90,,,
694,4,9,63,,,
695,3,9,68,,,
696,4,9,65,,,
697,3,9,68,,,
698,4,10,89,,,
699,3,9,66,,,
700,4,9,65,,,
701,3,8,89,,,
702,3,9,89,,,
703,4,9,96,,,
704,3,8,64,,,
705,3,9,66,,,
706,4,9,66,,,
707,3,8,94,,,
708,3,9,94,,,
709,4,10,92,,,
710,4,10,103,,,
711,4,10,68,,,
712,3,8,63,,,
713,4,9,67,,,
714,3,9,87,,,
715,3,9,65,,,
716,3,10,68,,,
717,3,9,108,,,
718,4,9,87,,,
719,3,8,94,,,
720,4,9,69,,,
721,3,9,87,,,
722,4,10,66,,,
723,3,9,86,,,
724,3,9,67,,,
725,3,9,66,,,
726,3,9,101,,,
727,3,9,87,,,
728,4,9,68,,,
729,3,9,106,,,
730,4,10,101,,,
731,3,10,67,,,
732,4,10,103,,,
733,3,9,106,,,
734,3,9,67,,,
735,4,9,99,,,
736,3,8,98,,,
737,4,10,96,,,
738,4,11,96,,,
739,3,9,67,,,
740,3,8,65,,,
741,3,8,63,,,
742,3,8,67,,,
743,3,9,113,,,
744,3,9,86,,,
745,3,9,66,,,
746,3,9,94,,,
747,3,9,68,,,
748,4,9,65,,,
749,3,9,99,,,
750,3,9,65,,,
751,4,10,67,,,
752,4,9,95,,,
753,4,9,67,,,
754,3,9,65,,,
755,3,8,65,,,
756,3,9,90,,,
757,3,9,102,,,
758,4,9,99,,,
759,3,8,91,,,
760,3,9,66,,,
761,3,9,95,,,
762,3,10,66,,,
763,4,9,87,,,
764,3,10,69,,,
765,3,8,103,,,
766,3,9,67,,,
767,4,13,70,,,
