,validated,accepted,committed, ,avg_accep,avg_comm
2386,10,28,130,,,
2387,12,24,86,,,
2388,10,22,83,,,
2389,9,20,114,,,
2390,10,21,105,,,
2391,9,21,84,,,
2392,9,22,110,,,
2393,11,24,88,,,
2394,10,22,85,,,
2395,11,23,85,,,
2396,11,23,83,,,
2397,11,23,122,,,
2398,11,24,86,,,
2399,10,22,116,,,
2400,11,22,81,,,
2401,12,26,89,,,
2402,11,22,82,,,
2403,10,22,107,,,
2404,10,22,106,,,
2405,11,22,83,,,
2406,9,21,81,,,
2407,11,24,126,,,
2408,9,20,112,,,
2409,10,22,107,,,
2410,12,25,85,,,
2411,12,24,84,,,
2412,10,22,119,,,
2413,10,22,82,,,
2414,9,22,106,,,
2415,9,21,83,,,
2416,11,24,86,,,
2417,9,21,117,,,
2418,12,24,125,,,
2419,11,22,82,,,
2420,9,21,82,,,
2421,10,22,132,,,
2422,11,24,90,,,
2423,11,22,105,,,
2424,11,24,87,,,
2425,11,22,124,,,
2426,11,23,87,,,
2427,10,22,82,,,
2428,9,21,105,,,
2429,10,21,83,,,
2430,9,23,85,,,
2431,10,22,84,,,
2432,11,23,83,,,
2433,10,21,89,,,
2434,9,21,82,,,
2435,10,22,83,,,
2436,11,23,82,,,
2437,11,24,84,,,
2438,10,22,124,,,
2439,11,24,85,,,
2440,11,22,86,,,
2441,12,24,106,,,
2442,11,22,109,,,
2443,11,23,83,,,
2444,12,23,84,,,
2445,11,23,111,,,
2446,10,22,122,,,
2447,10,21,81,,,
2448,10,22,83,,,
2449,11,23,83,,,
2450,12,24,85,,,
2451,10,22,84,,,
2452,11,25,79,,,
2453,9,21,82,,,
2454,11,23,84,,,
2455,10,22,82,,,
2456,11,23,85,,,
2457,11,24,84,,,
2458,12,24,112,,,
2459,10,22,81,,,
2460,8,22,86,,,
2461,11,23,84,,,
2462,12,25,117,,,
2463,9,21,84,,,
2464,11,24,122,,,
2465,10,22,83,,,
2466,11,23,111,,,
2467,9,20,83,,,
2468,11,23,110,,,
2469,10,21,82,,,
2470,9,21,106,,,
2471,10,22,85,,,
2472,10,23,104,,,
2473,10,22,82,,,
2474,11,23,117,,,
2475,9,21,117,,,
2476,9,21,81,,,
2477,10,23,85,,,
2478,10,23,86,,,
2479,10,21,80,,,
2480,11,25,89,,,
2481,11,24,90,,,
2482,10,22,82,,,
2483,10,21,109,,,
2484,10,21,81,,,
2485,11,22,81,,,
2486,11,24,118,,,
2487,11,23,126,,,
2488,11,23,111,,,
2489,9,21,83,,,
2490,10,23,107,,,
2491,11,22,85,,,
2492,11,23,109,,,
2493,10,21,83,,,
2494,11,22,84,,,
