,validated,accepted,committed, ,avg_accep,avg_comm
439,10,21,83,,,
440,10,22,85,,,
441,11,22,84,,,
442,9,21,81,,,
443,11,21,105,,,
444,11,23,83,,,
445,10,21,82,,,
446,11,23,83,,,
447,11,23,86,,,
448,10,22,83,,,
449,11,24,85,,,
450,10,21,91,,,
451,12,25,117,,,
452,10,22,85,,,
453,9,21,82,,,
454,10,21,103,,,
455,10,21,81,,,
456,11,23,115,,,
457,9,21,117,,,
458,12,24,80,,,
459,12,24,128,,,
460,12,24,87,,,
461,12,33,138,,,
462,10,21,83,,,
463,10,21,109,,,
464,10,21,109,,,
465,11,22,83,,,
466,10,22,84,,,
467,11,23,82,,,
468,11,23,83,,,
469,11,23,106,,,
470,11,23,122,,,
471,11,24,86,,,
472,10,22,102,,,
473,13,25,88,,,
474,10,23,85,,,
475,11,22,88,,,
476,11,23,121,,,
477,10,1696,1808,,,
478,10,21,105,,,
479,10,22,104,,,
480,11,23,103,,,
481,10,23,85,,,
482,11,22,83,,,
483,9,20,112,,,
484,12,23,119,,,
485,10,22,81,,,
486,10,23,85,,,
487,10,22,85,,,
488,12,25,94,,,
489,10,22,114,,,
490,11,23,105,,,
491,10,21,81,,,
492,9,21,107,,,
493,9,21,123,,,
494,11,25,107,,,
495,11,23,83,,,
496,10,22,83,,,
497,9,21,84,,,
498,12,24,86,,,
499,9,21,103,,,
500,10,21,121,,,
501,10,23,120,,,
502,9,23,86,,,
503,9,22,82,,,
504,11,23,91,,,
505,9,21,82,,,
506,9,21,105,,,
507,11,24,112,,,
508,10,22,84,,,
509,10,22,82,,,
510,11,22,82,,,
511,12,25,85,,,
512,10,22,82,,,
513,11,25,112,,,
514,11,26,92,,,
515,10,22,82,,,
516,10,22,111,,,
517,11,23,84,,,
518,10,24,96,,,
519,11,25,121,,,
520,11,25,87,,,
521,10,22,82,,,
522,11,23,105,,,
523,9,21,82,,,
524,11,22,85,,,
525,10,23,121,,,
526,11,22,112,,,
527,11,23,84,,,
528,10,23,84,,,
529,11,25,126,,,
530,11,23,125,,,
531,11,24,85,,,
532,10,22,84,,,
533,11,22,124,,,
534,11,25,123,,,
535,11,24,129,,,
536,11,1889,3243,,,
537,11,24,94,,,
538,9,21,81,,,
539,12,24,87,,,
540,10,22,116,,,
541,9,20,82,,,
542,10,22,112,,,
543,12,25,85,,,
544,11,24,92,,,
545,10,39,277,,,
546,11,22,113,,,
547,11,22,120,,,
548,10,22,85,,,
549,11,24,85,,,
550,11,22,81,,,
551,11,23,83,,,
552,10,22,112,,,
553,11,585,1031,,,
554,11,22,84,,,
555,10,22,109,,,
556,11,23,85,,,
557,11,24,86,,,
558,9,21,112,,,
559,10,22,118,,,
560,11,22,123,,,
561,10,22,82,,,
562,10,22,82,,,
563,10,23,88,,,
564,9,20,80,,,
565,11,23,86,,,
566,11,24,118,,,
567,12,2248,4204,,,
568,10,24,125,,,
569,10,22,111,,,
570,10,21,82,,,
571,10,21,81,,,
572,9,20,104,,,
573,10,23,84,,,
574,9,20,80,,,
575,10,21,124,,,
576,11,23,82,,,
577,12,23,86,,,
578,12,24,84,,,
579,10,22,83,,,
580,12,25,125,,,
581,14,27,90,,,
582,9,21,117,,,
583,10,22,82,,,
584,11,23,85,,,
585,10,22,82,,,
586,12,24,84,,,
587,10,22,112,,,
588,10,22,85,,,
589,12,24,85,,,
590,10,22,82,,,
591,13,27,107,,,
592,10,22,86,,,
593,10,22,112,,,
594,10,22,106,,,
595,10,22,82,,,
